,abstract,date,headline,id,lead_paragraph,section,source,url,word_count
66,There are now three suspected cases in the city. The patients had recently been to China and came down with flulike symptoms.,2020-02-03,Coronavirus in New York: 2 More Possible Cases in City Are Identified,nyt://article/0273ac17-f08e-56d1-9508-e519d4d7e836,"A day after New York City’s health authorities said that a woman was hospitalized with the city’s first suspected case of the new coronavirus, the authorities on Sunday announced that two more patients also might have the virus.",New York,The New York Times,https://www.nytimes.com/2020/02/02/nyregion/coronavirus-new-york-city.html,678
69,A two-week quarantine has left Masako Ishida and hundreds of others dealing with inconveniences and trying to figure out how to pass the time.,2020-02-05,Trapped on a Cruise Ship by the Coronavirus: When Is Breakfast?,nyt://article/8cdf6157-1896-5c7a-afdc-2d5bde293037,"TOKYO — Hidden away in her cabin, Masako Ishida reckons she doesn’t face much risk from the coronavirus that has stalked her cruise ship, forcing an onboard quarantine of 3,700 passengers and crew members in the port city of Yokohama.",World,The New York Times,https://www.nytimes.com/2020/02/05/world/asia/japan-coronavirus-cruise-ship.html,764
63,"With infections doubling every four days and more than 600 deaths, China intensified its response in Wuhan, with house-to-house temperature checks and mass confinements at quarantine centers.",2020-02-06,China Tightens Wuhan Lockdown in ‘Wartime’ Battle With Coronavirus,nyt://article/a2e004f5-7901-5380-8e20-92e61fe91075,"WUHAN, China — The Chinese authorities resorted to increasingly extreme measures in Wuhan on Thursday to try to halt the spread of the deadly coronavirus, ordering house-to-house searches, rounding up the sick and warehousing them in enormous quarantine centers.",World,The New York Times,https://www.nytimes.com/2020/02/06/world/asia/coronavirus-china-wuhan-quarantine.html,1742
64,Dr. Li Wenliang issued a warning about a strange new virus. Then the authorities summoned him for questioning.,2020-02-06,"Chinese Doctor, Silenced After Warning of Outbreak, Dies From Coronavirus",nyt://article/fd9fd7d8-dc0a-5d52-a833-05e279bb5ed6,"WUHAN, China —  He was the doctor who tried to sound a warning that a troubling cluster of viral infections in a Chinese province could grow out of control — and was then summoned for a middle-of-the-night reprimand over his candor.",World,The New York Times,https://www.nytimes.com/2020/02/06/world/asia/chinese-doctor-Li-Wenliang-coronavirus.html,967
65,A factory in western France has become an unlikely outpost to help overcome a severe shortage as supplies dry up in China.,2020-02-06,"As Coronavirus Spreads, Face Mask Makers Go Into Overdrive",nyt://article/8ceead0e-a803-51c9-9616-4fa4fce09c58,"ANGERS, France — The relentless whir of machines echoing across a cavernous French factory floor this week is an unexpected result of the deadly virus that has nearly paralyzed cities in China and other parts of Asia. The company, Kolmi Hopen, happens to make an item that is suddenly one of the world’s hottest commodities: the medical face mask.",Business Day,The New York Times,https://www.nytimes.com/2020/02/06/business/coronavirus-face-masks.html,1332
68,"Evacuees taken to Australia’s Christmas Island, a former detention center for asylum seekers, have been given sunscreen, sandals and shorts. They also have video games.",2020-02-06,What It’s Like to Be Quarantined on an Island Over Coronavirus Fears,nyt://article/806b384b-348c-565f-9143-b9278298284d,Life in an immigration detention center on Australia’s Christmas Island has not been as bad as David Huang feared. It is certainly a far cry from the conditions that thousands of asylum seekers have faced in the country’s offshore detention centers in recent years.,World,The New York Times,https://www.nytimes.com/2020/02/06/world/asia/coronavirus-quarantine-australia.html,692
60,"The doctor, Li Wenliang, had been silenced by the police after warning about the new coronavirus that has killed hundreds in China and sickened thousands.",2020-02-07,Widespread Outcry in China Over Death of Coronavirus Doctor,nyt://article/78fb7adb-9771-54d6-a0fe-06d835e90ae0,"They posted videos of the Les Misérables song “Do You Hear the People Sing.” They invoked article No. 35 of China’s Constitution, which stipulates freedom of speech. They tweeted a phrase from “For Whom the Bell Tolls.”",Business Day,The New York Times,https://www.nytimes.com/2020/02/07/business/china-coronavirus-doctor-death.html,1505
62,The country is scrambling to prevent a larger outbreak even as it prepares for the Tokyo Olympics.,2020-02-07,Jump in Coronavirus Cases on Ship Poses a Critical Test for Japan,nyt://article/70cc7463-0a01-5281-bd94-60767766e1cf,Japan already had several confirmed coronavirus cases when a giant cruise ship arrived at the port of Yokohama last week.,World,The New York Times,https://www.nytimes.com/2020/02/07/world/asia/coronavirus-japan-cruise-ship.html,1170
61,"Xi Jinping has backed out of the spotlight as the country faces its worst crisis in years, reflecting the political risks he faces if efforts to contain the virus fail.",2020-02-08,Where’s Xi? China’s Leader Commands Coronavirus Fight From Safe Heights,nyt://article/b6c0e7f7-f010-5e42-a668-f34410d034fa,"WUHAN, China — President Xi Jinping strode onstage before an adoring audience in the Great Hall of the People in Beijing less than three weeks ago, trumpeting his successes in steering China through a tumultuous year and promising “landmark” progress in 2020.",World,The New York Times,https://www.nytimes.com/2020/02/08/world/asia/xi-coronavirus-china.html,1538
67,The United States has no plans to conduct additional evacuations from China though some Americans are asking for help.,2020-02-08,"First American Dies of Coronavirus, Raising Questions About U.S. Response",nyt://article/50cf32a5-8f09-5093-9cea-1eb8c6548aca,"SHANGHAI — A United States citizen died from the coronavirus in Wuhan, China, American officials said on Saturday. It was the first known American death from the illness, and was likely to add to diplomatic friction over Beijing’s response to the epidemic.",World,The New York Times,https://www.nytimes.com/2020/02/08/world/asia/china-coronavirus-american-dead.html,1295
