date,scA,scH,scL,scComb,rolling_sum
2020-02-03,0.0,0.5,0.5,1.0,
2020-02-04,0.0,0.5,0.5,1.0,2.5
2020-02-05,0.0,0.0,0.0,0.0,2.0
2020-02-06,0.2,0.2,0.0,0.4,1.2
2020-02-07,0.0,0.4,0.2,0.6,2.0
2020-02-08,0.5,1.0,0.5,2.0,3.0
2020-02-09,0.0,0.0,0.0,0.0,2.0
2020-02-10,0.3333333333333333,0.0,0.0,0.3333333333333333,1.0
2020-02-11,0.6,0.4,0.4,1.4,3.4
2020-02-12,0.5,0.5,0.0,1.0,3.5
2020-02-13,0.0,1.0,1.0,2.0,4.5
2020-02-14,0.0,0.6666666666666666,0.0,0.6666666666666666,3.0
2020-02-15,0.0,1.0,0.5,1.5,4.0
2020-02-16,0.0,0.0,0.0,0.0,3.0
2020-02-17,0.2,0.4,0.4,1.0,2.8
2020-02-18,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,5.333333333333333
2020-02-19,1.0,1.0,1.0,3.0,6.0
2020-02-20,0.0,0.0,0.5,0.5,4.0
2020-02-21,1.0,1.0,0.0,2.0,3.0
2020-02-22,,,,,
2020-02-23,,,,,
2020-02-24,,,,,
2020-02-25,,,,,
2020-02-26,,,,,
2020-02-27,,,,,
2020-02-28,,,,,
2020-02-29,,,,,
2020-03-01,,,,,
2020-03-02,,,,,
2020-03-03,,,,,
2020-03-04,,,,,
2020-03-05,,,,,
2020-03-06,,,,,
2020-03-07,,,,,
2020-03-08,,,,,
2020-03-09,,,,,
2020-03-10,,,,,
2020-03-11,0.25,1.0,0.25,1.5,5.0
2020-03-12,0.0,1.0,0.6666666666666666,1.6666666666666667,4.666666666666667
2020-03-13,0.3333333333333333,0.5,0.5,1.3333333333333333,4.0
2020-03-14,0.6666666666666666,0.6666666666666666,0.0,1.3333333333333333,4.333333333333333
2020-03-15,0.3333333333333333,0.0,0.0,0.3333333333333333,1.3333333333333333
2020-03-16,0.5,0.25,0.5,1.25,2.75
2020-03-17,0.4,0.4,0.2,1.0,3.4
2020-03-18,0.5,0.5833333333333334,0.6666666666666666,1.75,5.5
2020-03-19,0.0,0.25,0.625,0.875,2.625
2020-03-20,0.0,0.5,0.0,0.5,1.0
2020-03-21,,,,,
2020-03-22,,,,,
2020-03-23,,,,,
2020-03-24,,,,,
2020-03-25,,,,,
2020-03-26,,,,,
2020-03-27,,,,,
2020-03-28,,,,,
2020-03-29,,,,,
2020-03-30,,,,,
2020-03-31,,,,,
2020-04-01,,,,,
2020-04-02,,,,,
2020-04-03,,,,,
2020-04-04,,,,,
2020-04-05,,,,,
2020-04-06,,,,,
2020-04-07,,,,,
2020-04-08,0.0,0.0,0.0,0.0,1.0
2020-04-09,0.0,0.25,0.5,0.75,1.75
2020-04-10,1.0,0.0,0.0,1.0,2.0
2020-04-11,1.0,1.0,1.0,3.0,5.0
2020-04-12,,,,,
2020-04-13,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.3333333333333333,5.666666666666667
2020-04-14,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.8333333333333334,2.0
2020-04-15,0.16666666666666666,0.5,0.0,0.6666666666666666,2.6666666666666665
2020-04-16,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.8333333333333334,1.8333333333333333
2020-04-17,0.6666666666666666,0.6666666666666666,1.0,2.3333333333333335,5.666666666666667
2020-04-18,0.5,0.5,0.25,1.25,4.666666666666667
2020-04-19,0.75,0.5,0.5,1.75,4.375
2020-04-20,0.5,0.5,0.375,1.375,5.0
2020-04-21,0.25,0.5,0.25,1.0,2.8125
2020-04-22,0.4,0.4,0.2,1.0,3.0
2020-04-23,0.0,0.5,0.0,0.5,3.5
2020-04-24,0.0,0.5,1.0,1.5,2.5
2020-04-25,0.3333333333333333,0.0,0.6666666666666666,1.0,4.333333333333333
2020-04-26,0.6666666666666666,0.3333333333333333,0.5,1.5,3.5
2020-04-27,0.4,0.4,0.6,1.4,4.8
2020-04-28,0.5,1.0,0.25,1.75,5.5
2020-04-29,0.0,0.5,0.5,1.0,3.0
2020-04-30,0.3333333333333333,1.0,0.3333333333333333,1.6666666666666667,4.666666666666667
2020-05-01,0.16666666666666666,0.5,0.5,1.1666666666666667,3.0
2020-05-02,,,,,
2020-05-03,,,,,
2020-05-04,0.5,0.0,0.0,0.5,4.0
2020-05-05,0.0,1.0,0.0,1.0,2.0
2020-05-06,0.5,0.0,0.5,1.0,3.0
2020-05-07,0.0,0.5,0.0,0.5,2.0
2020-05-08,0.0,1.0,0.0,1.0,2.0
