,abstract,date,headline,id,lead_paragraph,section,source,url,word_count
0,There are now three suspected cases in the city. The patients had recently been to China and came down with flulike symptoms.,2020-02-03,Coronavirus in New York: 2 More Possible Cases in City Are Identified,nyt://article/0273ac17-f08e-56d1-9508-e519d4d7e836,"A day after New York City’s health authorities said that a woman was hospitalized with the city’s first suspected case of the new coronavirus, the authorities on Sunday announced that two more patients also might have the virus.",New York,The New York Times,https://www.nytimes.com/2020/02/02/nyregion/coronavirus-new-york-city.html,678
1,The latest cases were 14 people who had been evacuated by the U.S. government from a cruise ship in Japan.,2020-02-03,"Coronavirus in the U.S.: 29 Confirmed Cases, More Tests Underway",nyt://article/d68a7c44-e514-54cb-8da2-e468d3f3aeec,The number of confirmed coronavirus cases in the United States nearly doubled on Monday after federal officials announced that 14 Americans evacuated from a cruise ship in Japan and flown back to this country had tested positive for the virus. That brought the number of known cases in this country to 29.,U.S.,The New York Times,https://www.nytimes.com/2020/02/03/us/coronavirus-united-states-cases.html,1092
2,"Despite quarantine sites on military bases and local health departments monitoring recent arrivals from China, it remained unclear how many people would be caught up in the effort.",2020-02-04,U.S. Officials Promise ‘Aggressive Measures’ to Contain Coronavirus,nyt://article/532a912d-6986-5ba7-b4f1-9cdd09cdb4b8,"Four military bases in Texas, California and Colorado were preparing to house American citizens for up to two weeks as part of a highly unusual federal effort aimed at slowing the spread of the deadly coronavirus. As of late Monday, though, expectations that a large number of Americans who had traveled to parts of China might quickly be held under quarantine had not come to pass.",U.S.,The New York Times,https://www.nytimes.com/2020/02/03/us/united-states-coronavirus-quarantine.html,1405
3,Tuesday: An update on the outbreak. Also: The likelihood of a super bloom this year.,2020-02-04,Coronavirus in California: What to Know,nyt://article/ef9ce5c7-a14b-5aff-be79-1216c8dee615,Good morning.,U.S.,The New York Times,https://www.nytimes.com/2020/02/04/us/coronavirus-california-san-benito-county.html,1255
4,A two-week quarantine has left Masako Ishida and hundreds of others dealing with inconveniences and trying to figure out how to pass the time.,2020-02-05,Trapped on a Cruise Ship by the Coronavirus: When Is Breakfast?,nyt://article/8cdf6157-1896-5c7a-afdc-2d5bde293037,"TOKYO — Hidden away in her cabin, Masako Ishida reckons she doesn’t face much risk from the coronavirus that has stalked her cruise ship, forcing an onboard quarantine of 3,700 passengers and crew members in the port city of Yokohama.",World,The New York Times,https://www.nytimes.com/2020/02/05/world/asia/japan-coronavirus-cruise-ship.html,764
5,A factory in western France has become an unlikely outpost to help overcome a severe shortage as supplies dry up in China.,2020-02-06,"As Coronavirus Spreads, Face Mask Makers Go Into Overdrive",nyt://article/8ceead0e-a803-51c9-9616-4fa4fce09c58,"ANGERS, France — The relentless whir of machines echoing across a cavernous French factory floor this week is an unexpected result of the deadly virus that has nearly paralyzed cities in China and other parts of Asia. The company, Kolmi Hopen, happens to make an item that is suddenly one of the world’s hottest commodities: the medical face mask.",Business Day,The New York Times,https://www.nytimes.com/2020/02/06/business/coronavirus-face-masks.html,1332
6,"With infections doubling every four days and more than 600 deaths, China intensified its response in Wuhan, with house-to-house temperature checks and mass confinements at quarantine centers.",2020-02-06,China Tightens Wuhan Lockdown in ‘Wartime’ Battle With Coronavirus,nyt://article/a2e004f5-7901-5380-8e20-92e61fe91075,"WUHAN, China — The Chinese authorities resorted to increasingly extreme measures in Wuhan on Thursday to try to halt the spread of the deadly coronavirus, ordering house-to-house searches, rounding up the sick and warehousing them in enormous quarantine centers.",World,The New York Times,https://www.nytimes.com/2020/02/06/world/asia/coronavirus-china-wuhan-quarantine.html,1742
7,"There are no confirmed cases of coronavirus in Africa yet, but with steady traffic to and from China, experts worry that the epidemic could overrun already-strained health systems.",2020-02-06,"Africa, Intertwined With China, Fears Coronavirus Outbreak",nyt://article/f751683f-ff58-5409-aa95-8f64173f6e0f,"ADDIS ABABA, Ethiopia — As the 9 a.m. flight from Dubai arrived at the international airport in Ethiopia’s capital on Wednesday, four government health specialists in face masks and protective glasses worked their way to the line of incoming passengers to check their passports.",World,The New York Times,https://www.nytimes.com/2020/02/06/world/africa/africa-coronavirus-china.html,1239
8,"Evacuees taken to Australia’s Christmas Island, a former detention center for asylum seekers, have been given sunscreen, sandals and shorts. They also have video games.",2020-02-06,What It’s Like to Be Quarantined on an Island Over Coronavirus Fears,nyt://article/806b384b-348c-565f-9143-b9278298284d,Life in an immigration detention center on Australia’s Christmas Island has not been as bad as David Huang feared. It is certainly a far cry from the conditions that thousands of asylum seekers have faced in the country’s offshore detention centers in recent years.,World,The New York Times,https://www.nytimes.com/2020/02/06/world/asia/coronavirus-quarantine-australia.html,692
9,Dr. Li Wenliang issued a warning about a strange new virus. Then the authorities summoned him for questioning.,2020-02-06,"Chinese Doctor, Silenced After Warning of Outbreak, Dies From Coronavirus",nyt://article/fd9fd7d8-dc0a-5d52-a833-05e279bb5ed6,"WUHAN, China —  He was the doctor who tried to sound a warning that a troubling cluster of viral infections in a Chinese province could grow out of control — and was then summoned for a middle-of-the-night reprimand over his candor.",World,The New York Times,https://www.nytimes.com/2020/02/06/world/asia/chinese-doctor-Li-Wenliang-coronavirus.html,967
10,The country is scrambling to prevent a larger outbreak even as it prepares for the Tokyo Olympics.,2020-02-07,Jump in Coronavirus Cases on Ship Poses a Critical Test for Japan,nyt://article/70cc7463-0a01-5281-bd94-60767766e1cf,Japan already had several confirmed coronavirus cases when a giant cruise ship arrived at the port of Yokohama last week.,World,The New York Times,https://www.nytimes.com/2020/02/07/world/asia/coronavirus-japan-cruise-ship.html,1170
11,"The doctor, Li Wenliang, had been silenced by the police after warning about the new coronavirus that has killed hundreds in China and sickened thousands.",2020-02-07,Widespread Outcry in China Over Death of Coronavirus Doctor,nyt://article/78fb7adb-9771-54d6-a0fe-06d835e90ae0,"They posted videos of the Les Misérables song “Do You Hear the People Sing.” They invoked article No. 35 of China’s Constitution, which stipulates freedom of speech. They tweeted a phrase from “For Whom the Bell Tolls.”",Business Day,The New York Times,https://www.nytimes.com/2020/02/07/business/china-coronavirus-doctor-death.html,1505
12,"The virus outbreak has rattled the global economy, disrupting supply chains and closing off access to a lucrative consumer market.",2020-02-07,"From Starbucks to FedEx, Coronavirus Upends Businesses That Depend on China",nyt://article/ee1c78c0-5088-5633-8b7f-4190b5d58e9a,"The coronavirus outbreak in China has rattled the global economy, disrupting virtually every major industry, from food, fashion and entertainment to automobiles and technology.",Business Day,The New York Times,https://www.nytimes.com/2020/02/07/business/coronavirus-business-impact.html,1403
13,The territory was already reeling from political discord and recession. Now the outbreak is fanning fears of global isolation and worsening mistrust between citizens and their leaders.,2020-02-07,"In Hong Kong, the Coronavirus Strikes a Wounded City",nyt://article/05c8acd6-7145-5dce-ba9a-5d19ce3eca8d,HONG KONG — Hong Kong has suffered through months of political protests. Its economy is shrinking. Mistrust divides its people from its leaders. Locals and expatriates alike already talk openly about leaving.,Business Day,The New York Times,https://www.nytimes.com/2020/02/07/business/hong-kong-coronavirus.html,1389
14,OPEC is still trying to forge an agreement on new output cuts to sop up an oil glut.,2020-02-07,Saudi-Russian Alliance Is Strained as Coronavirus Saps Demand for Oil,nyt://article/246d4c70-72dd-591a-b051-7d474996e42f,"An alliance between Saudi Arabia and Russia has helped prop up oil prices for the last three years. But the two big oil producers were not in perfect harmony this week, as they have tried to recalibrate production targets to cope with reduced demand from China, whose economy has been crippled by the coronavirus epidemic.",Business Day,The New York Times,https://www.nytimes.com/2020/02/07/business/opec-russia-saudi-arabia.html,926
15,The United States has no plans to conduct additional evacuations from China though some Americans are asking for help.,2020-02-08,"First American Dies of Coronavirus, Raising Questions About U.S. Response",nyt://article/50cf32a5-8f09-5093-9cea-1eb8c6548aca,"SHANGHAI — A United States citizen died from the coronavirus in Wuhan, China, American officials said on Saturday. It was the first known American death from the illness, and was likely to add to diplomatic friction over Beijing’s response to the epidemic.",World,The New York Times,https://www.nytimes.com/2020/02/08/world/asia/china-coronavirus-american-dead.html,1295
16,"Xi Jinping has backed out of the spotlight as the country faces its worst crisis in years, reflecting the political risks he faces if efforts to contain the virus fail.",2020-02-08,Where’s Xi? China’s Leader Commands Coronavirus Fight From Safe Heights,nyt://article/b6c0e7f7-f010-5e42-a668-f34410d034fa,"WUHAN, China — President Xi Jinping strode onstage before an adoring audience in the Great Hall of the People in Beijing less than three weeks ago, trumpeting his successes in steering China through a tumultuous year and promising “landmark” progress in 2020.",World,The New York Times,https://www.nytimes.com/2020/02/08/world/asia/xi-coronavirus-china.html,1538
17,"China is racing to screen ever more patients in Hubei Province, acknowledging that delays in diagnosing the virus are a major obstacle to controlling the epidemic.",2020-02-09,"As Deaths Mount, China Tries to Speed Up Coronavirus Testing",nyt://article/f8859e6d-625b-5b77-9b36-96effc206ffc,"Dr. Zhang Xiaochun, who works in a hospital in Wuhan, was in dismay. Her patient had been running a fever for nine days, and a CT scan showed signs of pneumonia — symptoms of the new coronavirus sweeping across the central Chinese city.",World,The New York Times,https://www.nytimes.com/2020/02/09/world/asia/china-coronavirus-tests.html,1147
18,"This outbreak has killed more people, and more quickly, than a previous epidemic.",2020-02-09,"Coronavirus Epidemic Reaches Bleak Milestone, Exceeding SARS Toll",nyt://article/ec77c526-f2ff-5c8d-917c-5a4f3cbdb30d,"BEIJING — The coronavirus epidemic in China surpassed a grim milestone on Sunday with a death toll that exceeds that of the SARS outbreak 17 years ago, a development that coincided with news that World Health Organization experts might soon be in the country to help stanch the crisis.",World,The New York Times,https://www.nytimes.com/2020/02/09/world/asia/china-coronavirus-sars.html,1429
19,"“What kind of government is this?’ asks a family of three generations sickened by the new virus and desperate for care in Wuhan, the Chinese city at the center of the outbreak.",2020-02-09,Her Grandmother Got the Coronavirus. Then So Did the Whole Family.,nyt://article/e860cc35-29b8-5f8b-b10a-efa67f792712,"WUHAN, China — Bella Zhang hung an intravenous drip on a spindly tree branch and slumped down on a large stone planter outside the crowded hospital. Her mother and brother sat wearily beside her, their shoulders sagging, both also hooked up to their own drips.",World,The New York Times,https://www.nytimes.com/2020/02/09/world/asia/coronavirus-family-china.html,1241
20,"China’s leader, who rarely mingles with the public, visited several sites in the capital and spoke to medical workers in Wuhan via video conferencing.",2020-02-10,‘Let’s Not Shake Hands’: Xi Jinping Tours Beijing Amid Coronavirus Crisis,nyt://article/236d278d-561f-5bdb-a339-bb167398655f,"BEIJING — When he stepped inside the municipal office five miles north of the Forbidden City, China’s most powerful leader in decades pulled up the sleeve of his black overcoat and held out his wrist. A woman in a mask and surgical gloves then checked to see if he had a fever.",World,The New York Times,https://www.nytimes.com/2020/02/10/world/asia/xi-jinping-coronavirus.html,822
21,"Cases of the new virus on the quarantined Diamond Princess reached 135 Monday, including 20 Americans. Conditions below decks could risk further spread.",2020-02-10,Cruise Ship’s Coronavirus Outbreak Leaves Crew Nowhere to Hide,nyt://article/7022ad35-4c47-5e9e-8fa4-3b6d1f682ef6,"YOKOHAMA, Japan — In the passenger decks of the quarantined Diamond Princess cruise ship, more than 2,500 travelers are carefully isolated. Meals are delivered to their cabins. They have permission to walk on deck, six feet apart, for a few minutes a day.    ",Business Day,The New York Times,https://www.nytimes.com/2020/02/10/business/coronavirus-japan-cruise-ship.html,1225
22,A software engineer finds herself unable to return to her job in Hong Kong after the Philippine government banned travel to the city.,2020-02-10,"A Job Overseas, but Stranded by Coronavirus Travel Bans",nyt://article/43e2bd0c-9f96-5be1-87fb-24a4636ccaa0,"HONG KONG — Jade Doringo arrived at Manila’s international airport more than five hours ahead of her scheduled departure to Hong Kong, where she worked as a software engineer. But instead of getting on her flight, she was asked to surrender her boarding pass.",Business Day,The New York Times,https://www.nytimes.com/2020/02/10/business/china-coronavirus-philippines-travel.html,683
23,"Germany and other countries were already vulnerable. The longer the Chinese economy remains crippled, the bigger the risk to the rest of the world.",2020-02-11,Coronavirus Shock Could Push Europe Into a Downturn,nyt://article/84432408-f40e-5965-9881-3e37fc1a265a,"FRANKFURT — So far, only scattered cases of the coronavirus have appeared in Europe, but the economic effects are proving harder to quarantine. The shock may be severe enough to push the vulnerable German economy, and perhaps the entire eurozone, into a recession.",Business Day,The New York Times,https://www.nytimes.com/2020/02/11/business/coronavirus-europe-economy-daimler.html,1052
24,"A handful of buildings around the world have been linked to multiple cases of the new virus, raising fears of rapid transmission.",2020-02-11,"A Store, a Chalet, an Unsealed Pipe: Coronavirus Hot Spots Flare Far From Wuhan",nyt://article/56f154af-a04f-5a88-b418-1e314173f998,Read the latest updates in the coronavirus outbreak here. ,World,The New York Times,https://www.nytimes.com/2020/02/11/world/asia/china-coronavirus-clusters.html,1412
25,A tumble in commodity markets reflects the spreading ripples of an outbreak.,2020-02-11,"As Coronavirus Stifles China, Economic Logjams Build Worldwide",nyt://article/dfa10f9f-ed04-5efe-adb1-d679b6f6a49b,"In Australia, after hauling hundreds of thousands of tons of iron ore to China, returning freighters can face a 14-day quarantine before being able to reload.",Business Day,The New York Times,https://www.nytimes.com/2020/02/11/business/china-coronavirus-commodities.html,807
26,"Experts find it astonishing that Indonesia has yet to announce a case despite hosting some 5,000 Chinese tourists a day in Bali before halting flights last week.",2020-02-11,Indonesia Has No Reported Coronavirus Cases. Is That the Whole Picture?,nyt://article/88db6c88-c1cf-5095-8972-33b10ee3a65d,"NUSA DUA, Indonesia — The family from Shanghai was vacationing in Singapore last month when they learned that the new coronavirus had arrived there from China.",World,The New York Times,https://www.nytimes.com/2020/02/11/world/asia/coronavirus-indonesia-bali.html,1200
27,"Steve Walsh, who is believed to have contracted the new coronavirus in Singapore, is connected to five more of the eight known cases in Britain and to five in France.",2020-02-11,U.K. Businessman Linked to Coronavirus Cluster Comes Forward,nyt://article/cdb88a86-bfc7-5210-827c-a64d2759ec7a,"BRIGHTON, England — A British businessman believed to be the source of a cluster of coronavirus cases in Britain and France came forward on Tuesday, saying that he had fully recovered but would remain in isolation as a precaution.",World,The New York Times,https://www.nytimes.com/2020/02/11/world/europe/coronavirus-britain-steve-walsh.html,1154
28,China’s health authorities have decided to no longer count as confirmed cases those patients who test positive but don’t show symptoms. Skepticism was immediate.,2020-02-12,How Many Coronavirus Cases in China? Officials Tweak the Answer,nyt://article/036dc6b9-496a-5434-90d7-4974306183b7,"HONG KONG — The news was abrupt and, to some, surprising: Overnight, a Chinese province near Russia, had cut its count of confirmed coronavirus cases by more than a dozen.",World,The New York Times,https://www.nytimes.com/2020/02/12/world/asia/china-coronavirus-cases.html,1049
29,"As Americans and others flee Chinese universities, the crisis is severing ties that have historically brought the country closer to the rest of the world.",2020-02-12,Coronavirus Forces Foreign Students in China to Choose: Stay or Go,nyt://article/08204c6c-ac2d-5e28-8e27-d3cbb19d9f7b,HONG KONG — Word came from home via hurried emails and instant messages to campuses across the country: Leave China now.,World,The New York Times,https://www.nytimes.com/2020/02/12/world/asia/china-coronavirus-students.html,1259
30,"The “wartime” campaign to round up all who might be sick was extended to cities beyond the epicenter, even as it was marred by confusion that has isolated vulnerable patients and left some to die.",2020-02-13,China Expands Chaotic Dragnet in Coronavirus Crackdown,nyt://article/3655c735-83ab-58ae-ae9f-944520bd0ee3,"China’s leaders expanded a mass roundup of people possibly sickened with the coronavirus on Thursday, widening their dragnet well beyond the epicenter of the outbreak to at least two more cities in what the government has called a “wartime” campaign to stamp out the epidemic.",World,The New York Times,https://www.nytimes.com/2020/02/13/world/asia/13china-coronavirus-cases.html,1581
31,"President Xi Jinping reshuffled the leadership in Hubei Province, the center of the outbreak, installing protégés in the hope of getting the crisis under control.",2020-02-13,China Ousts 2 Party Officials Amid Outrage About Coronavirus Response,nyt://article/84e588a4-6f48-51d6-80c6-cd1425cda61d,"BEIJING — China’s leader, Xi Jinping, summarily ousted two top Communist Party officials from the province at the center of the coronavirus epidemic on Thursday, exacting political punishment for the regional government’s handling of a crisis that seemed far from under control.",World,The New York Times,https://www.nytimes.com/2020/02/13/world/asia/china-coronavirus-xi-jinping.html,1295
32,"Two video bloggers whose dispatches from the heart of the outbreak showed fear, grief and dissatisfaction with the government have gone silent.",2020-02-14,They Documented the Coronavirus Crisis in Wuhan. Then They Vanished.,nyt://article/64c1e462-164f-586d-a7a7-b4d810e41e28,"HONG KONG — The beige van squatted outside of a Wuhan hospital, its side and back doors ajar. Fang Bin, a local clothing salesman, peered inside as he walked past. He groaned: “So many dead.” He counted five, six, seven, eight body bags. “This is too many.”  ",Business Day,The New York Times,https://www.nytimes.com/2020/02/14/business/wuhan-coronavirus-journalists.html,1194
33,"Chinese authorities are using infrared thermometers to screen people for the illness, as the devices have become synonymous with trying to contain deadly outbreaks.",2020-02-14,‘Thermometer Guns’ on Coronavirus Front Lines Are ‘Notoriously Not Accurate’,nyt://article/96060d23-1ac2-5b98-a8f5-5bb97278120b,It has become an iconic image of the coronavirus outbreak in China: a masked official aiming what appears to be a small white pistol at a traveler’s forehead.,Business Day,The New York Times,https://www.nytimes.com/2020/02/14/business/coronavirus-temperature-sensor-guns.html,1213
34,"When Kevin Tang’s American teacher found out he was stuck at home because of coronavirus, she decided to use music to improve his mood.",2020-02-14,Violin Lessons During the Coronavirus Outbreak. A Pupil’s Progress.,nyt://article/e4c5a89b-fe40-5d4c-a37b-9d0ecd9ba653,"Thirty minutes into the violin lesson, Anthea Kreston knew that something was wrong.",World,The New York Times,https://www.nytimes.com/2020/02/14/world/asia/china-coronavirus-chengdu.html,739
35,"Despite their high-tech tools, the authorities are mainly relying on a flood of workers to keep hundreds of millions of people from coming in contact with outsiders.",2020-02-15,"To Tame Coronavirus, Mao-Style Social Control Blankets China",nyt://article/e410a91b-032d-5d66-9718-d117e2c990d2,"SHANGHAI — China has flooded cities and villages with battalions of neighborhood busybodies, uniformed volunteers and Communist Party representatives to carry out one of the biggest social control campaigns in history.",Business Day,The New York Times,https://www.nytimes.com/2020/02/15/business/china-coronavirus-lockdown.html,1525
36,"In China, after assurances that people should go back to work, officials partly changed course and announced mandatory quarantine for people returning to Beijing.",2020-02-15,Shifting Ground in Coronavirus Fight: U.S. Will Evacuate Americans From Cruise Ship,nyt://article/2ae1734d-7c29-521f-897c-5badc7612483,"For much of this past week, as a dangerous viral outbreak continued to rattle the world, officials seemed keen to offer reassurances. Chinese leaders urged people to get back to work. American officials said they saw no need to evacuate citizens from a quarantined cruise ship in Japan.",World,The New York Times,https://www.nytimes.com/2020/02/15/world/asia/japan-cruise-ship-coronavirus.html,1259
37,"Amid assurances that the Westerdam was disease free, hundreds of people disembarked in Cambodia and headed for airports. One was later found to be infected.",2020-02-16,Coronavirus Infection Found After Cruise Ship Passengers Disperse,nyt://article/7ab20ee2-8c32-5ce5-83d1-3a510fc7fcd4,"The cruise ship had been shunned at port after port for fear it might carry the coronavirus, but when the Westerdam arrived in Cambodia on Thursday, the prime minister greeted its passengers with flowers.",World,The New York Times,https://www.nytimes.com/2020/02/16/world/asia/coronavirus-cruise-americans.html,1554
38,"Scientists have dismissed suggestions that the Chinese government was behind the outbreak, but it’s the kind of tale that gains traction among those who see China as a threat.",2020-02-17,Senator Tom Cotton Repeats Fringe Theory of Coronavirus Origins,nyt://article/7b1f2830-99a6-5951-83dc-c2b099dbcb12,The rumor appeared shortly after the new coronavirus struck China and spread almost as quickly: that the outbreak now afflicting people around the world had been manufactured by the Chinese government.,Business Day,The New York Times,https://www.nytimes.com/2020/02/17/business/media/coronavirus-tom-cotton-china.html,965
39,The likely postponement of the most important spectacle on China’s political calendar reflects the Communist Party’s growing anxiety over the epidemic.,2020-02-17,"Battling Coronavirus, China Signals Delay of Its Top Party Gathering",nyt://article/887dd405-1b7d-542b-bf18-810c5f6f0bb2,"China signaled on Monday that it would postpone its most important political spectacle of the year, a sign of deepening anxiety within the ruling Communist Party about the threat posed by the coronavirus epidemic.",World,The New York Times,https://www.nytimes.com/2020/02/17/world/asia/china-coronavirus-congress-postpone.html,910
40,"The family of Chloe Chang, a Taiwanese woman, is effectively trapped in Hubei Province, and in the middle of a spat between China and Taiwan.",2020-02-17,‘Now We Are Refugees’: A Family in Limbo Amid the Coronavirus Outbreak,nyt://article/2d254e03-af51-50eb-bf59-42182ae7f4bd,"These days, Chloe Chang, a Taiwanese woman stranded at the center of China’s coronavirus outbreak, says she wakes up every half-hour during the night. Sometimes she breaks down in tears.",World,The New York Times,https://www.nytimes.com/2020/02/17/world/asia/china-coronavirus-hubei-taiwan.html,702
41,"Some factories are firing up again, but with many workers quarantined and parts in short supply, production is limited.",2020-02-17,"Slowed by the Coronavirus, China Inc. Struggles to Reopen",nyt://article/3bdc8612-9959-5568-a02f-e8cdc5c91477,Airbus is slowly restarting its assembly line in China. General Motors began limited production on Saturday. Toyota followed on Monday morning.,Business Day,The New York Times,https://www.nytimes.com/2020/02/17/business/china-coronavirus-economy.html,1562
42,"Xu Zhiyong, a prominent Chinese legal activist, went silent over the weekend. His girlfriend, Li Qiaochu, a social activist, has gone missing.",2020-02-17,China Detains Activist Who Accused Xi of Coronavirus Cover-Up,nyt://article/b41d4610-0112-56d8-8f1c-9e686fdf3357,"He portrayed China’s leader, Xi Jinping, as hungry for power. He accused Mr. Xi of trying to cover up the coronavirus outbreak in central China. In one of his most daring writings, he urged Mr. Xi to resign, saying, “You’re just not smart enough.”",World,The New York Times,https://www.nytimes.com/2020/02/17/world/asia/coronavirus-china-xu-zhiyong.html,585
43,"The World Health Organization said China’s drastic limits on people’s movement had helped, but experts cautioned against predicting that the worst was over.",2020-02-18,"Coronavirus Epidemic Keeps Growing, but Spread in China Slows",nyt://article/7272da57-5009-50fa-88b9-590d212463b4,"HONG KONG — Chinese officials hailed recent figures as evidence that the spread of the coronavirus epidemic has slowed, and World Health Organization officials said on Tuesday that China’s strict limits on its people’s movements have helped.",World,The New York Times,https://www.nytimes.com/2020/02/18/world/asia/china-coronavirus-cases.html,1517
44,"The outbreak has exposed the powerlessness of private charities, civic groups and others who could help the effort but whom the Communist Party considers rivals.",2020-02-18,"In Coronavirus Fight, China Sidelines an Ally: Its Own People",nyt://article/b431bec0-79d2-50a6-b1d5-79a6f43999bc,Hospitals in Wuhan and surrounding Hubei Province have been making urgent pleas to the Chinese people for three weeks as the new coronavirus ripples through the country: Send more protective gear.,Business Day,The New York Times,https://www.nytimes.com/2020/02/18/business/china-coronavirus-charity-supplies.html,1475
