,abstract,date,headline,id,lead_paragraph,url,word_count
0,Mr. Greenwald is accused of being part of a “criminal investigation” that hacked into the cellphones of prosecutors and public officials.,2020-01-21,Glenn Greenwald Charged With Cybercrimes in Brazil,nyt://article/a41549ff-de45-528b-a2c4-5c32b7439d9f,RIO DE JANEIRO — Federal prosecutors in Brazil on Tuesday charged the American journalist Glenn Greenwald with cybercrimes for his role in bringing to light cellphone messages that have embarrassed prosecutors and tarnished the image of an anticorruption task force.,https://www.nytimes.com/2020/01/21/world/americas/glenn-greenwald-brazil-cybercrimes.html,1027
1,David Sirota’s job is to remind the candidate’s supporters why he dislikes the news media.,2020-01-21,The Former Journalist Who Is Bernie Sanders’s Media Critic,nyt://article/4d6ff484-048f-566b-9d2e-90ef3999d038,"When the first in-house newsletter of Bernie Sanders’s campaign landed in inboxes last August, its chief antagonist was neither President Trump nor a rival for the Democratic presidential nomination, but rather The Washington Post and, as the email said, “the Washington pundits who are paid by the corporations and billionaires who own the media.”",https://www.nytimes.com/2020/01/21/us/politics/david-sirota-bernie-sanders.html,2036
2,"The editor, Philip Jacobson, who works for the environmental website Mongabay, was detained last month after attending a public meeting on Borneo island. He was traveling on a business visa.",2020-01-22,American Journalist Is Arrested in Indonesia Over Visa Issue,nyt://article/08ae8639-d3fe-5c52-b7d8-4817f8479a8a,"BANGKOK — An American journalist whose work for a conservation website exposed environmental degradation and corporate malfeasance in Indonesia has been jailed by the country’s immigration authorities on suspicion that he violated the conditions of his visa, his attorney said on Wednesday.",https://www.nytimes.com/2020/01/22/world/asia/indonesia-journalist-philip-jacobson.html,553
3,"Pictures of the former Meghan Markle carrying her son, Archie, were published in British publications.",2020-01-22,Lawyers for Harry and Meghan Warn British Media Over Photos,nyt://article/c0c5e901-8629-5603-92da-e7c16b0c85e2,"OTTAWA — Prince Harry and his wife, Meghan, may have hoped that by relinquishing their official duties as members of the royal family and moving to Canada, they would escape the scrutiny of the British press.",https://www.nytimes.com/2020/01/22/world/canada/meghan-and-archie-photos.html,793
4,"The White House hoped the president’s trip to the World Economic Forum would shift attention away from impeachment, but an impromptu news conference often turned to the drama in Washington.",2020-01-22,"Trump, in Davos to Talk Trade, Lashes Out at Enemies Back Home",nyt://article/4ef9701e-6604-52ee-9cb5-fd79aa5c9329,"DAVOS, Switzerland — President Trump said on Wednesday that he would prefer a long impeachment trial with witness testimony before the Senate, but that national security concerns made that impossible, and added that he would like to attend the trial.",https://www.nytimes.com/2020/01/22/world/europe/trump-davos.html,728
5,"The president’s advisers have urged him not to pay attention to the low-polling Democratic presidential candidate. But as Michael Bloomberg poured cash into attack ads, he became harder to ignore.",2020-01-23,"Seeing a Bloomberg Ad on Fox News, Trump Takes the Bait",nyt://article/251290c9-e2d8-5909-bb32-9c079051af73,"For weeks, President Trump’s advisers have urged him to ignore Michael R. Bloomberg’s nationally televised needling, warning him that it would only help the low-polling late entrant to the Democratic presidential primary by elevating his standing.",https://www.nytimes.com/2020/01/23/us/politics/donald-trump-ads-michael-bloomberg.html,1110
6,The former associate of Rudolph W. Giuliani said through his lawyer that he had given the recording to the House Intelligence Committee for use in the impeachment inquiry.,2020-01-24,Lev Parnas Says He Has Recording of Trump Calling for Ambassador’s Firing,nyt://article/500bc325-7d33-5a03-8272-210fd6ee7545,"WASHINGTON — A former associate of Rudolph W. Giuliani, President Trump’s personal lawyer, said on Friday that he had turned over to congressional Democrats a recording from 2018 of the president ordering the removal of Marie L. Yovanovitch as the United States ambassador to Ukraine.",https://www.nytimes.com/2020/01/24/us/politics/trump-recording-yovanovitch.html,1366
7,"“He shouted at me for about the same amount of time as the interview itself had lasted,” said Mary Louise Kelly of NPR.",2020-01-25,Pompeo Lashes Out at Reporter and Challenges Her to Find Ukraine on a Map,nyt://article/0da29d68-5dab-5133-a5e8-0b7d86d7fa86,"Update: On Saturday, Mike Pompeo, the top American diplomat, lashed out at a reporter from NPR and what he called the “unhinged” news media in an extraordinary statement, apparently angered by her description of an interview she conducted with him on Iran and Ukraine. Read more about how it ignited outrage among foreign policy experts, scholars of diplomacy and press freedom advocates.",https://www.nytimes.com/2020/01/24/us/mike-pompeo-mary-louise-kelly-npr.html,908
8,"In an extraordinary statement, Secretary of State Mike Pompeo criticized a veteran NPR reporter, Mary Louise Kelly, and said the news media was “unhinged.”",2020-01-25,"Pompeo Denounces News Media, Undermining U.S. Message on Press Freedom",nyt://article/835438c6-2728-5b63-a4af-0573111b3c06,"WASHINGTON — Secretary of State Mike Pompeo escalated his clash with a respected NPR journalist on Saturday, lashing out at her and what he called the “unhinged” news media in an extraordinary statement. A day earlier, he abruptly ended an interview with her and delivered what the news outlet described as a profanity-laced rant.",https://www.nytimes.com/2020/01/25/us/politics/pompeo-mary-louise-kelly.html,1112
9,"The authorities had threatened a yearslong prison sentence for Philip Jacobson, who was jailed for three days. He is likely to be deported soon, but his movements remain restricted.",2020-01-25,Indonesia Releases U.S. Journalist Detained Over Visa Issue,nyt://article/2652ef32-6253-5cb8-9fb9-6538219b0eaf,"JAKARTA, Indonesia — An American environmental journalist accused of violating the terms of his visa has been freed after three days in jail and is likely to be deported soon, a top Indonesian government minister said.",https://www.nytimes.com/2020/01/25/world/asia/indonesia-american-journalist-philip-jacobson.html,534
