,Datetime,Text,user,retweets
0,2020-01-21 23:06:44+00:00,They trying to kill us First confirmed coronavirus case identified in the US ,Yoshi_NY,0
1,2020-01-21 22:59:58+00:00,When ya house is on fire you know who to call Only in New York. #NewYork #MTA #TuesdayThoughts #coverup #nobodylikeshim #BTSTOUR2020 #HOF2020 #TacoTuesday #coronavirus #NationalHuggingDay – at New York City,NYSGang,2
2,2020-01-21 21:18:08+00:00,The flu (influenza) is much more concerning to society then this new coronavirus variant. Yes it’s contagious but the majority of people who get it will have nothing more than a mild URI. Stop letting the media strike fear.,QueensCrypto,1
3,2020-01-21 20:59:37+00:00,in order to avoid coronavirus my best piece of advice is to purchase a gun and ammunition and fire indiscriminately into the air until this whole things blows over,esjesjesj,0
4,2020-01-21 20:43:18+00:00,CDC confirms first US case of coronavirus that has killed 6 in China... #CoronaVirus #Illness #CDC #Health #Travel #China #USA,BronxTravel,0
5,2020-01-21 20:43:00+00:00,"The #coronavirus is not the name of the emerging virus. Coronaviruses are a family of viruses that cause a variety of illnesses, for example, the common cold. As far as I know, they haven't named this virus &amp; are still trying to figure out what species it jumped from.",ErinKateStair,1
6,2020-01-21 20:37:28+00:00,"The first case of the deadly coronavirus sweeping Asia has been detected in the United States, officials announced Tuesday https://nypost.com/2020/01/21/first-case-of-deadly-coronavirus-detected-in-us/?utm_source=twitter_sitebuttons&amp;utm_medium=site%20buttons&amp;utm_campaign=site%20buttons via @nypost",MyWayOnNow,1
7,2020-01-21 19:43:41+00:00,Damn! CDC confirms first US case of Wuhan coronavirus - CNN ,boytoy1814,0
8,2020-01-21 19:42:11+00:00,"Me: mom don’t get sick, the coronavirus is in Japan and now in seattle Mom: we’re fine, we’re not drinking Coronas on this trip TRISH.",kaseycoffey,0
9,2020-01-21 19:27:03+00:00,1st confirmed case of new coronavirus reported in Washington state: CDC ,benjaminspector,1
10,2020-01-21 19:18:51+00:00,CDC confirms case of new coronavirus in the US -,CalNBC,3
11,2020-01-21 19:17:11+00:00,Some “new” virus going around “Coronavirus” cousin to the SARSVirus,MorazMula,0
